GAME_ID,GAME_DATE,SEASON,SEASON_TYPE,HOME_TEAM,HOME_REST_DAYS,HOME_ROLL_PTS,HOME_ROLL_REB,HOME_ROLL_AST,HOME_ROLL_FG_PCT,HOME_ROLL_PLUS_MINUS,AWAY_TEAM,AWAY_REST_DAYS,AWAY_ROLL_PTS,AWAY_ROLL_REB,AWAY_ROLL_AST,AWAY_ROLL_FG_PCT,AWAY_ROLL_PLUS_MINUS,HOME_WIN,SPLIT
0021500259,2015-11-30,2015,regular_season,UTA,2.0,96.2,42.7,18.7,0.44699999999999995,-0.5,GSW,2.0,116.5,44.1,30.0,0.5088,14.6,0,train
0021500260,2015-11-30,2015,regular_season,SAC,2.0,106.5,45.1,24.2,0.4667,-1.3,DAL,2.0,100.3,42.1,21.5,0.454,3.78,1,train
0021500261,2015-11-30,2015,regular_season,LAC,1.0,102.1,40.5,22.0,0.46529999999999994,-1.3,POR,2.0,98.7,45.0,20.1,0.4276,-1.5,1,train
0021500262,2015-12-01,2015,regular_season,CLE,3.0,103.7,45.4,22.7,0.46420000000000006,4.6,WAS,3.0,97.1,42.9,22.1,0.42379999999999995,-8.5,0,train
0021500263,2015-12-01,2015,regular_season,PHI,2.0,89.1,42.3,17.2,0.40969999999999995,-10.8,LAL,2.0,92.7,44.3,19.1,0.4175,-10.5,1,train
0021500264,2015-12-01,2015,regular_season,BKN,2.0,99.5,47.0,20.9,0.4438,-2.9,PHX,2.0,109.1,44.5,21.2,0.4595000000000001,1.8,1,train
0021500265,2015-12-01,2015,regular_season,MIN,2.0,101.4,44.1,19.2,0.45330000000000004,-1.5,ORL,2.0,100.8,47.4,22.3,0.4338,2.4,0,train
0021500266,2015-12-01,2015,regular_season,NOP,3.0,99.0,41.6,20.6,0.4425,-6.8,MEM,2.0,100.4,39.5,20.6,0.4396999999999999,1.9,0,train
0021500267,2015-12-01,2015,regular_season,POR,1.0,97.0,46.5,19.9,0.42590000000000006,-2.6,DAL,1.0,98.3,41.7,21.4,0.44159999999999994,1.4,0,train
0021500268,2015-12-02,2015,regular_season,CHA,3.0,102.6,42.7,22.2,0.44800000000000006,5.0,GSW,2.0,117.1,45.0,29.9,0.5096,13.3,0,train
0021500269,2015-12-02,2015,regular_season,WAS,1.0,97.0,42.3,22.1,0.42990000000000006,-5.3,LAL,1.0,93.0,45.3,18.5,0.4104,-10.4,0,train
0021500270,2015-12-02,2015,regular_season,DET,2.0,95.4,45.6,18.5,0.4125,-1.1,PHX,1.0,106.4,43.8,21.0,0.4505,0.1,1,train
0021500271,2015-12-02,2015,regular_season,NYK,3.0,93.2,44.3,18.5,0.42219999999999996,-3.4,PHI,1.0,90.9,42.7,18.4,0.42160000000000003,-7.9,1,train
0021500272,2015-12-02,2015,regular_season,ATL,2.0,100.3,42.5,24.2,0.446,-0.1,TOR,3.0,100.1,43.5,17.7,0.44420000000000004,4.3,0,train
0021500273,2015-12-02,2015,regular_season,CHI,2.0,98.0,49.2,23.2,0.41269999999999996,1.6,DEN,2.0,94.2,43.3,20.6,0.418,-8.6,1,train
0021500274,2015-12-02,2015,regular_season,HOU,2.0,101.5,44.1,19.4,0.4187,-6.2,NOP,1.0,99.6,41.3,21.0,0.44110000000000005,-6.9,1,train
0021500275,2015-12-02,2015,regular_season,SAS,2.0,95.0,46.2,23.8,0.44609999999999994,7.6,MIL,2.0,97.3,38.7,23.9,0.4607,-8.0,1,train
0021500276,2015-12-02,2015,regular_season,LAC,2.0,101.5,41.9,22.5,0.46109999999999995,1.2,IND,3.0,106.7,45.2,22.5,0.4593,12.0,0,train
0021500277,2015-12-03,2015,regular_season,MIA,3.0,96.0,45.8,19.2,0.4407,3.7,OKC,3.0,104.2,45.7,20.2,0.4558000000000001,4.4,1,train
0021500278,2015-12-03,2015,regular_season,TOR,1.0,97.8,42.9,16.7,0.4415,3.7,DEN,1.0,92.5,43.6,20.7,0.41100000000000003,-10.4,0,train
0021500279,2015-12-03,2015,regular_season,UTA,3.0,97.6,41.3,18.7,0.45,-1.8,ORL,2.0,102.0,47.4,22.6,0.4383,4.0,0,train
0021500280,2015-12-03,2015,regular_season,MEM,2.0,103.3,40.3,21.2,0.4532,4.4,SAS,1.0,95.3,46.2,24.0,0.4484,9.2,0,train
0021500281,2015-12-03,2015,regular_season,POR,2.0,98.1,47.9,19.7,0.4226,-1.7,IND,1.0,107.3,45.2,21.9,0.45809999999999995,13.6,1,train
